,Start,End
0,2019-09-25 20:10:53.472109,2019-09-25 20:10:54.855467
1,2019-09-25 20:10:56.448498,2019-09-25 20:10:56.554663
2,2019-09-25 20:10:56.660630,2019-09-25 20:10:56.766675
3,2019-09-25 20:10:56.872767,2019-09-25 20:10:57.085194
4,2019-09-25 20:10:57.404426,2019-09-25 20:10:57.510898
5,2019-09-25 20:10:57.616672,2019-09-25 20:10:57.722665
6,2019-09-25 20:10:57.828137,2019-09-25 20:10:57.933689
7,2019-09-25 20:10:58.039618,2019-09-25 20:11:04.418559
8,2019-09-25 20:11:07.185219,2019-09-25 20:11:07.397725
9,2019-09-25 20:11:08.566292,2019-09-25 20:11:08.671930
10,2019-09-25 20:11:10.367507,2019-09-25 20:11:12.381485
11,2019-09-25 20:11:13.124498,2019-09-25 20:11:18.011402
12,2019-09-25 20:11:18.646862,2019-09-25 20:11:18.962084
13,2019-09-25 20:11:21.184375,2019-09-25 20:11:21.291010
14,2019-09-25 20:11:22.460423,2019-09-25 20:11:28.313285
