,Price,Address,Location,Beds,Area,Full baths,Half baths,Lot size
0,"$725,000",0 Gateway,"Rock Springs, WY 82901",N/A,N/A,N/A,N/A,
1,"$452,900",1003 Winchester Blvd.,"Rock Springs, WY 82901",4,N/A,4,N/A,0.21 Acres
2,"$396,900",600 Talladega,"Rock Springs, WY 82901",5,"3,154",3,N/A,
3,"$389,900",3239 Spearhead Way,"Rock Springs, WY 82901",4,"3,076",3,1,"Under 1/2 Acre, "
4,"$254,000",522 Emerald Street,"Rock Springs, WY 82901",3,"1,172",3,N/A,"Under 1/2 Acre, "
5,"$252,900",1302 Veteran's Drive,"Rock Springs, WY 82901",4,"1,932",2,N/A,0.27 Acres
6,"$210,000",1021 Cypress Cir,"Rock Springs, WY 82901",4,"1,676",3,N/A,"Under 1/2 Acre, "
7,"$209,000",913 Madison Dr,"Rock Springs, WY 82901",3,"1,344",2,N/A,"Under 1/2 Acre, "
8,"$199,900",1344 Teton Street,"Rock Springs, WY 82901",3,"1,920",2,N/A,"Under 1/2 Acre, "
9,"$196,900",4 Minnies Lane,"Rock Springs, WY 82901",3,"1,664",2,N/A,2.02 Acres
